"id","robotid","p","t","z","deviceid","datainfold"
1,NULL,NULL,NULL,NULL,NULL,NULL
2,NULL,NULL,NULL,NULL,NULL,NULL
3,NULL,NULL,NULL,NULL,NULL,NULL
4,NULL,NULL,NULL,NULL,NULL,NULL
